source-id	latitude and longitude coordinate	latitude and longitude text	ecosystem	ecosystem-text	warming-method	warming-method-text	temperature-increase (degree C)	temperature-increase-text	warming-period-text	warming-timing	warming-season	warming-duration (months)	warming-other notes
Verburg PSJ etal 2005_Soil solution and extractable soil nitrogen response to climate change in two boreal forest ecosystems	58°23′N,8°19′E	Risdalsheia (58°23′N, 8°19′E) in southern Norway	shrub/heathland	shrubs	heating cable	"heating cables, ""Starting in April 1994, soil temperature was increased
by 5°C in January and 3°C in July with intermediate temperature
increases in the intervening months using heating
cables in the lower 80% of the catchment (T-T; Lükewille
and Wright 1997)."""	2.95	3.4°C(5 cm);     2.5°C(30 cm)	since 4.1994	all day warming	all year	3,15	sampling in 1994 and 1995
Olsrud M etal 2010_Responses of fungal root colonization, plant cover and leaf nutrients to long-term exposure to elevated atmospheric CO2 and warming in a subarctic birch forest understory	68°21'N,19°00'E	Abisko, Sweden (68°21'N, 19°00'E)	forest	birch forest	heating cable	"heating cables and infrared heating lamps, ""Each experimental plot for soil sampling
is 0.45m 0.75 m, divided into 15 different
0.15m 0.15m subplots and is surrounded by an
open-top chamber (OTC) with a footprint of ca. 1.5m2.
The experimental plot for point-frequency analyses is
0.105m 0.75m and included in the OTC. Four chambers
in each of six experimental blocks are randomly
assigned to one of the following four treatments: (1)
heated chambers in which soil and air temperatures are
elevated 5 1C above ambient, using buried heating
cables and infrared heating lamps,"" ""The soil is warmed by resistance cables, which have
been threaded through the organic upper layer of the
soil."""	5	5	2000-2006	all day warming	growing season	72	V Myrtillus
Hantschel RE etal 1995_Increasing the soil temperature to study global warming fffects on the soil nitrogen cycle in agroecosystems	48°30,0'N,11°20,7'E	Scheyern' exper-imental farm (N 48°30,0', E 11°20,7') of the Forschungsverbund Agrarokosysteme Muinchen	cropland	Crop	heating cable	"heating wire, ""To heat the soil we used a Teflon-copper-Teflon wire
with an outer diameter of 0.0032 m which was buried in
0.02 m depth. The wire was laid on the top of the soil in a
distance of 0.03 m."""	3	3	Jan 1994 to Mar 1994	all day warming	winter	3	0-5 cm soil
Lilley JM etal 2001_Nutritive value and the nitrogen dynamics of Trifolium subterraneum and Phalaris aquatica under warmer, high CO2 conditions	35°12'S,149°06'E	Canberra, Australian Capital Territory, Australia (149°06' E, 35°12' S)	grassland/meadow/prairie	pasture	infrared radiator	heating coil	3.4	3.4±0.3	since Dec.1995	all day warming	all year	7	herbage (cut above 7 cm) clover
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	38°53′N,107°02′W	Gunnison County USA (38°53′N, 107°02′W, elevation 2920 m).	grassland/meadow/prairie	subalpine meadow/sagebrush scrub ecotone.	infrared radiator	"infrared (IR)heater(cables), ""In each plot, two 1.6-m electric heaters (Kalgo, Inc.)
were suspended 2.5 m above the soil surface using steel
cables. These heaters were positioned above the plots in
the centre of the xeric and mesic zones. The ®ve heated
plots were continuously (24 h/day, 365 days/year) infrared-
irradiated (IR) at an intensity of 15 Wm±2 starting on
1 January 1991. On 24 May 1993, we added an additional
heater centred above the transition zone and raised the
IR output of all heaters to 22 Wm±2 to achieve a 1.5±2 °C
average soil temperature increase. The heaters gave off
no visible radiation (400±700 nm), while in the far red
(700±800 nm) spectrum the downward ¯ux was estimated
to be 10±6 of solar input. The 22 Wm±2 of IR
simulated the net surface warming as a consequence of
both the direct effect of a doubling of CO2 and the
contribution of the major feedbacks. The additional ¯ux of 7Wm±2 was intended to further compensate for the
lack of convective warming."""	1.75	1.5-2	warming since in Jan 1991        intensitied in May 1993(24 h/day, 365 days/year)        	all day warming	all year	5,7,17,19,41,43,48	twice within the growing season (June andAugust) in three years (1991, 1992 and 1994) in two moisture zones (xeric and mesic) 
An YA etal 2005_Plant nitrogen concentration, use efficiency, and contents in a tallgrass prairie ecosystem under experimental warming	34°58′54′′N,97°31′14′′W	McClain Country USA (34°58′54′′N, 97°31′14′′W),	grassland/meadow/prairie	tallgrass prairie	infrared radiator	"infrared heater, ""In each
pair, one plot had been warmed continuously using
infrared heaters since 21 November, 1999 with the other
control plots at ambient temperature. One 165 15cm2
infrared heater (Kalglo Electronics Inc., Bethlehem, PN,
USA, radiation output of about 100Wm 2) was
suspended 1.5m above ground in each warmed plot."""	2,2.4,2.6,2.7	2.6°C, 2000. 2.7°C, 2001.      2.4°C, 2002. 2.0°C, 2003	since Nov.1999-	all day warming	all year	8,20,32,46	
Zhang W etal 2005_Soil microbial responses to experimental warming and clipping in a tallgrass prairie	34°58′54′′N,97°31′14′′W	McClain Country USA(34°58′54′′N, 97°31′14′′W)	grassland/meadow/prairie	Grassland	infrared radiator	"infrared heater, ""In each pair, one plot had been warmed continuously with infrared heaters since November 1999 and the other was the unwarmed control. In each warmed plot, a single 165 cm _x0002_ 15 cm infrared heater (Kalglo Electro- nics Inc., Bethlehem, PA, USA) was suspended 1.5m above the ground. In the unwarmed control plot, a ‘dummy’ heater of the same shape and size as the infrared heater was suspended 1.5 m high in order to simulate the shading effects of the heater. For each paired plot, the distance between the control and the warmed plot was approximately 5 m in order to avoid heating the control plot by infrared heater."""	1.8	1.8	Nov. 1999-Sep. 2001	all day warming	all year	22,30,34	
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	31°41'N,103°53'E	Sichuan, China (31◦ 41' N, 103◦ 53' E )	forest	Subalpine coniferous forest	infrared radiator	"infrared heater, ""Our experiment followed Wan et al. (2002) in using 165 cm _x0004_ 15 cm infrared heaters (Kalgo Elec- tronics Inc, Bethlehem, PA, USA) to generate an artificially warmed environment. There were five pairs of 4 m _x0004_ 2 m plots (a warmed plot and a control plot). The infrared heater had a radiation output of approximately 100 W m_x0003_2 and its warming effect on soil temperature was spatially uniform in the warmed plots according to previous similar study (Wan et al., 2002). In the control plots, one “dummy” heater with the same shape and size as the infrared heater was suspended 1.5 m above the control plots to simulate the shading effects of the infrared heater. The control and the warmed plots were separated by 5 m to avoid heating the control plots."""	3.7	3.7(night warming)	April 2007 to May 2010	night time warming	all year	37,39,41	A. faxoniana
Yin H etal 2012_Nitrogen transformation in the rhizospheres of two subalpine coniferous species under experimental warming	31°41'N,103°53'E	Sichuan, China (31◦ 41' N, 103◦ 53' E )	forest	Subalpine coniferous forest	infrared radiator	"infrared heater, ""Our experiment followed Wan et al. (2002) in using 165 cm × 15 cm infrared heaters (Kalgo Electronics Inc., Bethlehem, PA, USA) to generate an artificially warmed environment.  The warmed plot was heated by an
infrared heater suspended 1.5 m above the middle of the plots. The
infrared heater had a radiation output of approximately 100 W m−2
,and its warming effect on soil temperature was spatially uniform within the warmed plots according to a similar previous study
(Wan et al., 2002)."""	2.1	2.1(daytime warming)	Apr.2007 to Jul.2007	day time warming	all year	15	P. asperata
Hu Y etal 2011_Effects of warming and grazing on N2O fluxes in an alpine meadow ecosystem on the Tibetan plateau	37°37'N,101°12'E	Haibei Alpine Meadow Ecosystem Research Station(37°37'N, 101°12'E), Tibet China	grassland/meadow/prairie	Plateau	infrared radiator: 1000 W	"infrared heaters, ""in
May 2006 eight hexagonal arrays ofMor FTE (1000W, 240 V) infrared
heaters were deployed over vegetation canopy that had previously
been heavily grazed by sheep during cool seasons from October to
May of prior years at the Haibei Alpine Meadow Ecosystem Research
Station with eight dummy arrays over reference plots."""	1.8,3	1.8	May 2006 to May 2008	all day warming	all year	2,4,11,14,16,28,35,24,25,26,27	
